document-count,cited-by-count,citations-count,h-index,coauthor-count,surname,given-name,faculty,department,gender,affiliation-name
6,45,45,2,11,Jalaludin,Farah Waheeda,FAM,DOIB,female,Universiti Tunku Abdul Rahman
20,106,106,5,23,Lau,Teck Chai,FAM,DOIB,male,Universiti Tunku Abdul Rahman
5,4,4,2,11,Low,Mei Peng,FAM,DOIB,female,Universiti Tunku Abdul Rahman
3,1,1,1,1,Khor,Kheng Kia,FAS,DOAD,male,Universiti Tunku Abdul Rahman
3,20,20,1,6,Kok,Hui Meian,FAS,DOAD,female,Universiti Tunku Abdul Rahman
1,0,0,0,2,Chibundu,Ihediwa Samuel,FAS,DOJ,male,Universiti Tunku Abdul Rahman
8,6,17,2,10,Ong,Christina Sook Beng,FAS,DLAL,female,Universiti Tunku Abdul Rahman
2,0,0,0,5,Mutty,Bharathi,FAS,DLAL,female,Universiti Tunku Abdul Rahman
3,1,1,1,9,Veerappan,Geetha,FAS,DLAL,female,Universiti Tunku Abdul Rahman
2,2,2,1,6,Tan,Joanna Tjin Ai,FAS,DLAL,female,Universiti Tunku Abdul Rahman
8,77,77,3,8,Veerappan,Geetha,FAS,DLAL,female,Universiti Tunku Abdul Rahman
3,11,11,2,8,Tan,Swee Mee,FAS,DLAL,female,Universiti Tunku Abdul Rahman
22,175,214,7,26,Siah,Poh Chua,FAS,DPAC,male,Universiti Tunku Abdul Rahman
7,71,71,3,12,Chie,Qiu Ting,FAS,DPAC,female,Universiti Tunku Abdul Rahman
15,42,54,4,13,Kok,Jin Kuan,FAS,DPAC,female,Universiti Tunku Abdul Rahman
9,25,26,2,16,Low,Sew Kim,FAS,DPAC,female,Universiti Tunku Abdul Rahman
2,0,0,0,3,Hushairi,Natasha Amira,FAS,DPAC,female,Universiti Tunku Abdul Rahman
2,1,1,1,7,Pheh,Kai Shuen,FAS,DPAC,male,Universiti Tunku Abdul Rahman
3,2,3,1,7,Nainee,Sarvarubini,FAS,DPAC,female,Universiti Tunku Abdul Rahman
3,0,0,0,7,Khodabkhsh,Sonia,FAS,DPAC,female,Universiti Tunku Abdul Rahman
3,0,0,0,7,Tan,Chee Seng,FAS,DPAC,male,Universiti Tunku Abdul Rahman
6,3,4,1,12,Tan,Soon Aun,FAS,DPAC,male,Universiti Tunku Abdul Rahman
14,20,20,2,42,Cheah,Phaik Kin,FAS,DPR,female,Universiti Tunku Abdul Rahman
2,0,0,0,5,Diong,Fong Wei,FAS,DPR,female,Universiti Tunku Abdul Rahman
3,9,10,2,5,Mat Nayan,Liana,FAS,DPR,female,Universiti Tunku Abdul Rahman
0,0,0,0,0,Choong,Yuen Onn,FBF,DOB,male,Universiti Tunku Abdul Rahman
0,0,0,0,0,Choong,Yuen Onn,FBF,DOB,male,Universiti Tunku Abdul Rahman
7,14,14,2,8,Choe,Kum Lung,FBF,DOB,male,Universiti Tunku Abdul Rahman
3,78,78,2,10,Fong,Chee Yong,FBF,DOB,male,Universiti Tunku Abdul Rahman
4,22,22,2,17,Kuek,Thiam Yong,FBF,DOB,male,Universiti Tunku Abdul Rahman
4,12,12,2,10,Ng,Lee Peng,FBF,DOB,female,Universiti Tunku Abdul Rahman
11,10,10,1,33,Moona Haji Mohamed @ Rajoo,Ramesh Kumar,FBF,DOB,male,Universiti Tunku Abdul Rahman
2,42,42,1,5,Foo,Alex Tun Lee,FBF,DOCA,male,Universiti Tunku Abdul Rahman
4,17,18,1,11,Ching,Suet Ling,FBF,DOCA,female,Universiti Tunku Abdul Rahman
3,27,27,1,6,Foo,Pik Yin,FBF,DOCA,female,Universiti Tunku Abdul Rahman
21,355,462,11,12,Hew,Jun Jie,FBF,DOCA,male,Universiti Tunku Abdul Rahman
2,6,6,1,3,Lee,Ah Suat,FBF,DOCA,female,Universiti Tunku Abdul Rahman
38,942,1131,18,27,Lee,Voon Hsien,FBF,DOCA,female,Universiti Tunku Abdul Rahman
24,646,933,15,13,Leong,Lai Ying,FBF,DOCA,female,Universiti Tunku Abdul Rahman
2,7,7,2,2,Lui,Tze Kiat,FBF,DOCA,male,Universiti Tunku Abdul Rahman
2,0,0,0,4,Khamar tazilah,Mohd Danial Afiq,FBF,DOCA,male,Universiti Tunku Abdul Rahman
9,30,30,3,14,Wong,Lee Luen,FBF,DOCA,male,Universiti Tunku Abdul Rahman
5,222,239,4,12,Yew,King Tak,FBF,DOCA,male,Universiti Tunku Abdul Rahman
3,19,19,1,12,Mohamad,Zam Zuriyati,FBF,DOCA,female,Universiti Tunku Abdul Rahman
17,27,27,3,14,Senadjki,Abdelhak,FBF,DE,male,Universiti Tunku Abdul Rahman
45,567,592,10,46,Chong,Chee Keong,FBF,DE,male,Universiti Tunku Abdul Rahman
19,381,387,6,8,Eng,Yoke Kee,FBF,DE,male,Universiti Tunku Abdul Rahman
8,5,6,1,11,Go,You How,FBF,DE,male,Universiti Tunku Abdul Rahman
2,11,11,2,7,Kuar,Lok Sin,FBF,DE,male,Universiti Tunku Abdul Rahman
10,311,315,3,21,Lau,Lin Sea,FBF,DE,female,Universiti Tunku Abdul Rahman
13,27,31,4,3,Wong,Chin Yoong,FBF,DE,male,Universiti Tunku Abdul Rahman
5,14,14,2,9,Yiew,Thian Hee,FBF,DE,male,Universiti Tunku Abdul Rahman
15,9,9,2,20,Yip,Chee Yin,FBF,DE,male,Universiti Tunku Abdul Rahman
2,2,2,1,3,Mohn Zin,Adi Wira,FBF,DOEN,male,Universiti Tunku Abdul Rahman
2,6,6,1,7,Ng,Yin Kuan,FBF,DOEN,female,Universiti Tunku Abdul Rahman
7,18,18,2,22,Yacob,Peter,FBF,DOEN,male,Universiti Tunku Abdul Rahman
5,8,8,1,6,Tan,Luen Peng,FBF,DOEN,male,Universiti Tunku Abdul Rahman
4,2,2,1,15,Maludin,Nurliyana,FBF,DOEN,female,Universiti Tunku Abdul Rahman
2,3,3,1,3,Cheah,Siew Pong,FBF,DOF,male,Universiti Tunku Abdul Rahman
6,28,30,3,8,Ng,Cheong Fatt,FBF,DOF,male,Universiti Tunku Abdul Rahman
3,16,16,2,19,Zakaria,Zuriawati,FBF,DOF,female,Universiti Tunku Abdul Rahman
8,137,139,4,13,Chen,I-Chi,FBF,DOM,female,Universiti Tunku Abdul Rahman
7,14,14,3,13,Chong,Yee Lee,FBF,DOM,female,Universiti Tunku Abdul Rahman
3,4,4,1,3,Krishnapillai,Gengeswari,FBF,DOM,female,Universiti Tunku Abdul Rahman
2,13,13,1,7,Khor,Saw Chin,FBF,DOM,female,Universiti Tunku Abdul Rahman
4,144,149,4,6,Lam,Siew Yong,FBF,DOM,female,Universiti Tunku Abdul Rahman
9,289,315,5,24,Sim,Jia Jia,FBF,DOM,female,Universiti Tunku Abdul Rahman
2,0,0,0,6,Yapp,Aloysius,FCI,DGS,male,Universiti Tunku Abdul Rahman
5,2,2,1,3,Chong,Hwei Teeng,FCI,DGS,female,Universiti Tunku Abdul Rahman
4,13,13,2,6,Chin,Yee Mun,FCI,DGEN,male,Universiti Tunku Abdul Rahman
3,0,0,0,8,Hassan,Nor Azlili,FCI,DGEN,female,Universiti Tunku Abdul Rahman
