document-count,cited-by-count,citations-count,h-index,coauthor-count,surname,given-name,faculty,department,gender,affiliation-name
35,234,275,10,67,Wong,Fai Chu,FSc,DCHS,male,Universiti Tunku Abdul Rahman
77,297,483,11,108,Yip,Foo Win,FSc,DCHS,male,Universiti Tunku Abdul Rahman
14,16,17,3,19,Beh,Woan Lin,FSc,DPMS,female,Universiti Tunku Abdul Rahman
3,0,0,0,8,Degeras,Karunanithy,FSc,DPMS,male,Universiti Tunku Abdul Rahman
11,72,77,6,26,Yip,Foo Win,FSc,DPMS,male,Universiti Tunku Abdul Rahman
3,0,0,0,8,Suliman,Khairul Rizuan,FSc,DPMS,male,Universiti Tunku Abdul Rahman
5,86,97,2,13,Lee,How Chinh,FSc,DPMS,male,Universiti Tunku Abdul Rahman
4,1,1,1,5,Lem,Kong Hoong,FSc,DPMS,male,Universiti Tunku Abdul Rahman
2,0,0,0,7,Lim,Shun Jinn,FSc,DPMS,female,Universiti Tunku Abdul Rahman
4,1,1,1,16,Looi,Sing Yan,FSc,DPMS,male,Universiti Tunku Abdul Rahman
3,6,6,1,7,Selvaraju,Mohan,FSc,DPMS,male,Universiti Tunku Abdul Rahman
2,5,5,1,5,Bakar,Mohd Abidin,FSc,DPMS,male,Universiti Tunku Abdul Rahman
12,30,30,3,20,Ng,Peh Sang,FSc,DPMS,female,Universiti Tunku Abdul Rahman
5,13,13,3,14,Beleya,Prashanth,FSc,DPMS,female,Universiti Tunku Abdul Rahman
2,0,0,0,6,Song,Poh Choo,FSc,DPMS,female,Universiti Tunku Abdul Rahman
7,19,21,2,9,Beh,Jing Han,LKCFES,DASD,female,Universiti Tunku Abdul Rahman
21,234,301,11,53,Lee,Sze Ying,LKCFES,DCE,female,Universiti Tunku Abdul Rahman
82,1342,1629,24,81,Lee,Tin Sin,LKCFES,DCE,male,Universiti Tunku Abdul Rahman
4,137,139,3,8,Lee,Zhi Hua,LKCFES,DCE,female,Universiti Tunku Abdul Rahman
26,128,156,7,27,Lee,Chun Hsion,LKCFES,DCE,male,Universiti Tunku Abdul Rahman
11,123,129,6,20,Mah,Shee Keat,LKCFES,DCE,male,Universiti Tunku Abdul Rahman
31,1301,1408,12,32,Ng,Law Yong,LKCFES,DCE,male,Universiti Tunku Abdul Rahman
11,161,165,6,12,Ng,Yee Sern,LKCFES,DCE,male,Universiti Tunku Abdul Rahman
53,1151,1318,18,59,Pang,Yean Ling,LKCFES,DCE,female,Universiti Tunku Abdul Rahman
27,705,801,10,42,Shuit,Siew Hoong,LKCFES,DCE,male,Universiti Tunku Abdul Rahman
31,416,445,11,41,Sim,Lan Ching,LKCFES,DCE,female,Universiti Tunku Abdul Rahman
54,993,1119,16,68,Lim,Steven,LKCFES,DCE,male,Universiti Tunku Abdul Rahman
18,75,89,6,44,Tee,Shiau Foon,LKCFES,DCE,female,Universiti Tunku Abdul Rahman
42,827,984,15,46,Tee,Tiam Ting,LKCFES,DCE,male,Universiti Tunku Abdul Rahman
5,56,56,3,18,Teoh,Hui Chieh,LKCFES,DCE,male,Universiti Tunku Abdul Rahman
21,320,347,7,42,Thiam,Hui San,LKCFES,DCE,female,Universiti Tunku Abdul Rahman
17,116,123,8,17,Tioh,Ngee Heng,LKCFES,DCE,male,Universiti Tunku Abdul Rahman
6,8,9,2,13,Wong,Kam Huei,LKCFES,DCE,female,Universiti Tunku Abdul Rahman
14,142,152,7,36,Woo,Kwan Kit,LKCFES,DCE,female,Universiti Tunku Abdul Rahman
6,16,18,3,20,Yap,Yeow Hong,LKCFES,DCE,male,Universiti Tunku Abdul Rahman
5,91,92,4,19,Ismail,Azlyana,LKCFES,DCE,female,Universiti Tunku Abdul Rahman
21,92,98,5,34,Chong,Kok Chung,LKCFES,DCE,male,Universiti Tunku Abdul Rahman
21,68,77,6,41,Chong,Woon Chan,LKCFES,DCE,female,Universiti Tunku Abdul Rahman
13,377,393,7,22,Issabayeva,Gulnaziya,LKCFES,DCE,female,Universiti Tunku Abdul Rahman
14,637,745,10,31,Shak,Katrina Pui Yee,LKCFES,DCE,female,Universiti Tunku Abdul Rahman
48,1218,1364,17,87,Lai,Soon Onn,LKCFES,DCE,male,Universiti Tunku Abdul Rahman
7,19,21,2,9,Beh,Jing Han,LKCFES,DCE,female,Universiti Tunku Abdul Rahman
15,34,34,3,24,Chong,Siaw Yah,LKCFES,DCEN,female,Universiti Tunku Abdul Rahman
42,278,326,10,55,Huang,Yuk Feng,LKCFES,DCEN,male,Universiti Tunku Abdul Rahman
36,250,269,11,23,Khoo,Hooi Ling,LKCFES,DCEN,female,Universiti Tunku Abdul Rahman
34,207,235,8,41,Koo,Chai Hoon,LKCFES,DCEN,female,Universiti Tunku Abdul Rahman
2,0,0,0,7,Kwong,Kok Zee,LKCFES,DCEN,male,Universiti Tunku Abdul Rahman
10,16,21,3,18,Lau,See Hung,LKCFES,DCEN,female,Universiti Tunku Abdul Rahman
14,27,34,3,29,Lee,Foo Wei,LKCFES,DCEN,male,Universiti Tunku Abdul Rahman
22,114,127,5,34,Lee,Yee Ling,LKCFES,DCEN,female,Universiti Tunku Abdul Rahman
16,15,18,3,32,Lim,Jee Hock,LKCFES,DCEN,male,Universiti Tunku Abdul Rahman
5,9,9,2,10,Lim,Ming Han,LKCFES,DCEN,male,Universiti Tunku Abdul Rahman
29,199,221,8,46,Lim,Siong Kang,LKCFES,DCEN,male,Universiti Tunku Abdul Rahman
20,79,87,3,23,Ling,Lloyd,LKCFES,DCEN,male,Universiti Tunku Abdul Rahman
10,24,24,3,24,Mahzabin,Sadia,LKCFES,DCEN,female,Universiti Tunku Abdul Rahman
5,127,135,5,7,Ong,Chuan Fang,LKCFES,DCEN,male,Universiti Tunku Abdul Rahman
5,0,0,0,5,Woon,Kai Siong,LKCFES,DCEN,male,Universiti Tunku Abdul Rahman
14,225,227,3,19,Tanaka,Yasuo,LKCFES,DCEN,male,Universiti Tunku Abdul Rahman
34,292,355,10,43,Yew,Ming Kun,LKCFES,DCEN,male,Universiti Tunku Abdul Rahman
12,12,18,3,20,Yip,Chun Chieh,LKCFES,DCEN,male,Universiti Tunku Abdul Rahman
48,273,305,8,60,Ling,Lloyd,LKCFES,DEEE,male,Universiti Tunku Abdul Rahman
10,6,7,2,14,Chew,Kuew Wai,LKCFES,DEEE,male,Universiti Tunku Abdul Rahman
73,619,1134,20,89,Chong,Kok Keong,LKCFES,DEEE,male,Universiti Tunku Abdul Rahman
20,187,217,5,19,Chua,Kein Huat,LKCFES,DEEE,male,Universiti Tunku Abdul Rahman
14,34,56,4,14,Chua,Sing Yee,LKCFES,DEEE,female,Universiti Tunku Abdul Rahman
152,878,1117,17,113,Chuah,Hean Teik,LKCFES,DEEE,male,Universiti Tunku Abdul Rahman
60,606,688,11,45,Chung,Boon Kuan,LKCFES,DEEE,male,Universiti Tunku Abdul Rahman
120,514,630,14,115,Ewe,Hong Tat,LKCFES,DEEE,male,Universiti Tunku Abdul Rahman
2,0,0,0,4,Abrahim Gnanamuthu,Ezra Morris,LKCFES,DEEE,male,Universiti Tunku Abdul Rahman
87,453,548,13,128,Abd Rahman,Faidz,LKCFES,DEEE,male,Universiti Tunku Abdul Rahman
14,81,83,4,29,Vetharatnam,Gobi,LKCFES,DEEE,male,Universiti Tunku Abdul Rahman
7,3,3,1,4,Vengadasalam,Jeewa,LKCFES,DEEE,male,Universiti Tunku Abdul Rahman
14,132,167,7,17,Khaw,Mei Kum,LKCFES,DEEE,female,Universiti Tunku Abdul Rahman
15,21,22,2,26,Lai,An Chow,LKCFES,DEEE,male,Universiti Tunku Abdul Rahman
38,120,140,6,61,Lee,Kim Yee,LKCFES,DEEE,male,Universiti Tunku Abdul Rahman
44,218,251,7,42,Lee,Sze Wei,LKCFES,DEEE,male,Universiti Tunku Abdul Rahman
17,232,250,7,16,Lee,Ying Loong,LKCFES,DEEE,male,Universiti Tunku Abdul Rahman
9,10,14,3,10,Lee,Yong Hong,LKCFES,DEEE,male,Universiti Tunku Abdul Rahman
34,220,436,9,67,Lim,Boon Han,LKCFES,DEEE,male,Universiti Tunku Abdul Rahman
92,564,868,17,71,Lim,Eng Hock,LKCFES,DEEE,male,Universiti Tunku Abdul Rahman
12,27,30,4,9,Lim,Soo King,LKCFES,DEEE,male,Universiti Tunku Abdul Rahman
66,777,877,16,54,Lim,Yun Seng,LKCFES,DEEE,male,Universiti Tunku Abdul Rahman
23,61,71,5,34,Lin,Horng Sheng,LKCFES,DEEE,male,Universiti Tunku Abdul Rahman
7,97,108,4,3,Ng,Choon Boon,LKCFES,DEEE,male,Universiti Tunku Abdul Rahman
20,19,20,2,46,Phua,Yeong Nan,LKCFES,DEEE,male,Universiti Tunku Abdul Rahman
35,253,281,9,50,Pua,Chang Hong,LKCFES,DEEE,male,Universiti Tunku Abdul Rahman
8,15,15,3,10,See,Yuen Chark,LKCFES,DEEE,male,Universiti Tunku Abdul Rahman
35,619,829,15,56,Shee,Yu Gang,LKCFES,DEEE,male,Universiti Tunku Abdul Rahman
36,366,412,10,28,Morris,Stella,LKCFES,DEEE,female,Universiti Tunku Abdul Rahman
15,39,41,4,18,Tham,Mau Luen,LKCFES,DEEE,male,Universiti Tunku Abdul Rahman
24,198,230,5,27,Wong,Jianhui,LKCFES,DEEE,female,Universiti Tunku Abdul Rahman
54,396,431,9,64,Yap,Wun She,LKCFES,DEEE,male,Universiti Tunku Abdul Rahman
23,106,118,8,42,Yeoh,Keat Hoe,LKCFES,DEEE,female,Universiti Tunku Abdul Rahman
20,156,163,6,29,Yong,Thain Khok,LKCFES,DEEE,male,Universiti Tunku Abdul Rahman
49,319,340,10,62,Yap,Wun She,LKCFES,DEEE,male,Universiti Tunku Abdul Rahman
4,2,2,1,6,Chean,Swee Ling,LKCFES,DIECS,female,Universiti Tunku Abdul Rahman
2,6,6,2,3,Hoo,Meei Hao,LKCFES,DIECS,female,Universiti Tunku Abdul Rahman
62,484,544,10,75,Kishigami,Junichi,LKCFES,DIECS,male,Universiti Tunku Abdul Rahman
21,108,119,5,10,Khor,Kok Chin,LKCFES,DIECS,male,Universiti Tunku Abdul Rahman
7,17,20,3,11,Bonab,Mohammad Babrdel,LKCFES,DIECS,male,Universiti Tunku Abdul Rahman
10,38,40,4,14,Lau,Simon Boung Yew,LKCFES,DIECS,male,Universiti Tunku Abdul Rahman
55,542,571,13,53,Tay,Yong Haur,LKCFES,DIECS,male,Universiti Tunku Abdul Rahman
3,3,3,1,5,Too,Chian Wen,LKCFES,DIECS,female,Universiti Tunku Abdul Rahman
2,0,0,0,2,Wong,Chim Chwee,LKCFES,DIECS,female,Universiti Tunku Abdul Rahman
7,8,9,2,11,Wong,Whee Yen,LKCFES,DIECS,female,Universiti Tunku Abdul Rahman
5,41,41,2,9,Yong,Yoke Leng,LKCFES,DIECS,female,Universiti Tunku Abdul Rahman
24,68,69,4,18,De,Avik,LKCFES,DMAS,male,Universiti Tunku Abdul Rahman
14,5,6,2,6,Chen,Huey Voon,LKCFES,DMAS,female,Universiti Tunku Abdul Rahman
7,0,0,0,4,Chew,Chun Yong,LKCFES,DMAS,male,Universiti Tunku Abdul Rahman
39,101,136,7,25,Chia,Gek Ling,LKCFES,DMAS,male,Universiti Tunku Abdul Rahman
9,9,10,1,7,Goh,Yann Ling,LKCFES,DMAS,female,Universiti Tunku Abdul Rahman
16,12,13,2,20,Goh,Yong Kheng,LKCFES,DMAS,male,Universiti Tunku Abdul Rahman
4,2,3,1,8,Koh,Siew Khew,LKCFES,DMAS,female,Universiti Tunku Abdul Rahman
4,2,4,1,2,Kuang,Kee Seng,LKCFES,DMAS,male,Universiti Tunku Abdul Rahman
2,1,1,1,2,Lee,Yap Jia,LKCFES,DMAS,female,Universiti Tunku Abdul Rahman
2,0,0,0,2,Liew,How Hui,LKCFES,DMAS,male,Universiti Tunku Abdul Rahman
4,7,7,2,8,Ng,Kooi Huat,LKCFES,DMAS,male,Universiti Tunku Abdul Rahman
4,6,9,2,3,Ng,Wei Shean,LKCFES,DMAS,female,Universiti Tunku Abdul Rahman
4,8,10,2,3,Ong,Poh Hwa,LKCFES,DMAS,female,Universiti Tunku Abdul Rahman
5,3,3,1,9,Pan,Wei Yeing,LKCFES,DMAS,female,Universiti Tunku Abdul Rahman
7,5,9,2,3,Pang,Sook Theng,LKCFES,DMAS,female,Universiti Tunku Abdul Rahman
5,13,13,1,1,Qua,Kiat Tat,LKCFES,DMAS,male,Universiti Tunku Abdul Rahman
6,44,46,3,11,Sim,Shin Zhu,LKCFES,DMAS,female,Universiti Tunku Abdul Rahman
15,7,13,2,7,Tan,Choon Peng,LKCFES,DMAS,male,Universiti Tunku Abdul Rahman
6,11,11,3,13,Tan,Wei Lun,LKCFES,DMAS,male,Universiti Tunku Abdul Rahman
12,61,62,5,5,Teoh,Lay Eng,LKCFES,DMAS,female,Universiti Tunku Abdul Rahman
17,7,9,2,11,Wong,Chee Keong,LKCFES,DMAS,male,Universiti Tunku Abdul Rahman
9,9,10,1,7,Yong,Chin Khain,LKCFES,DMAS,male,Universiti Tunku Abdul Rahman
5,21,22,2,2,Yap,Lee Ken,LKCFES,DMAS,female,Universiti Tunku Abdul Rahman
5,12,12,2,11,Yong,Chin Khain,LKCFES,DMAS,male,Universiti Tunku Abdul Rahman
9,9,10,1,7,Tan,Andy Chit,LKCFES,DMME,male,Universiti Tunku Abdul Rahman
66,951,1125,17,67,Bee,Soo Tueen,LKCFES,DMME,female,Universiti Tunku Abdul Rahman
3,27,27,2,16,Chen,Kah Pin,LKCFES,DMME,male,Universiti Tunku Abdul Rahman
6,6,6,2,3,Cheong,Wen Chiet,LKCFES,DMME,male,Universiti Tunku Abdul Rahman
13,66,71,5,32,Goh,Sing Yau,LKCFES,DMME,male,Universiti Tunku Abdul Rahman
22,345,371,8,37,Jun,Hieng Kiat,LKCFES,DMME,male,Universiti Tunku Abdul Rahman
8,7,7,2,4,Kam,Heng Keong,LKCFES,DMME,male,Universiti Tunku Abdul Rahman
29,116,188,9,29,Khaw,Chwin Chieh,LKCFES,DMME,male,Universiti Tunku Abdul Rahman
15,67,67,2,39,King,Yeong Jin,LKCFES,DMME,male,Universiti Tunku Abdul Rahman
4,4,4,1,8,Lee,Hwang Sheng,LKCFES,DMME,male,Universiti Tunku Abdul Rahman
30,80,87,5,51,Lee,Poh Foong,LKCFES,DMME,female,Universiti Tunku Abdul Rahman
13,66,71,5,32,Liang,Sing Yau,LKCFES,DMME,male,Universiti Tunku Abdul Rahman
5,63,63,3,25,Liang,Meng Suan,LKCFES,DMME,female,Universiti Tunku Abdul Rahman
3,13,13,1,4,Low,Foon Siang,LKCFES,DMME,female,Universiti Tunku Abdul Rahman
12,145,147,6,28,Ng,Tan Ching,LKCFES,DMME,female,Universiti Tunku Abdul Rahman
15,86,104,4,30,Ooi,Joog Boon,LKCFES,DMME,male,Universiti Tunku Abdul Rahman
16,112,135,6,23,Poon,Hiew Mun,LKCFES,DMME,female,Universiti Tunku Abdul Rahman
60,585,774,16,85,Durairaj,Rajkumar,LKCFES,DMME,male,Universiti Tunku Abdul Rahman
6,46,51,3,11,Viyapuri,Rubentheren,LKCFES,DMME,male,Universiti Tunku Abdul Rahman
13,29,35,3,31,Tey,Jing Yuen,LKCFES,DMME,male,Universiti Tunku Abdul Rahman
12,33,34,3,39,Ting,Chen Hunt,LKCFES,DMME,male,Universiti Tunku Abdul Rahman
3,0,0,0,6,Wong,Mee Chu,LKCFES,DMME,female,Universiti Tunku Abdul Rahman
25,123,126,7,46,Yeo,Wei Hong,LKCFES,DMME,male,Universiti Tunku Abdul Rahman
37,560,673,15,44,Yew,Ming Chain,LKCFES,DMME,male,Universiti Tunku Abdul Rahman
22,83,91,4,31,Chai,Tong Yuen,LKCFES,DMBE,male,Universiti Tunku Abdul Rahman
6,5,5,1,9,Chan,Siow Cheng,LKCFES,DMBE,female,Universiti Tunku Abdul Rahman
38,153,227,9,59,Chee,Pei Song,LKCFES,DMBE,male,Universiti Tunku Abdul Rahman
26,88,90,5,54,Chong,Yu Zheng,LKCFES,DMBE,male,Universiti Tunku Abdul Rahman
3,26,26,3,5,Ng,Danny Wee Kiat,LKCFES,DMBE,male,Universiti Tunku Abdul Rahman
146,959,1097,18,119,Goi,Bok Min,LKCFES,DMBE,male,Universiti Tunku Abdul Rahman
17,37,37,3,30,Hum,Yan Chai,LKCFES,DMBE,male,Universiti Tunku Abdul Rahman
7,49,52,5,14,Kwan,Ban Hoe,LKCFES,DMBE,male,Universiti Tunku Abdul Rahman
14,121,124,5,36,Lee,Jer Vui,LKCFES,DMBE,male,Universiti Tunku Abdul Rahman
6,40,40,3,17,Loo,Joo Ling,LKCFES,DMBE,female,Universiti Tunku Abdul Rahman
4,17,17,2,6,Mok,Siew Ying,LKCFES,DMBE,female,Universiti Tunku Abdul Rahman
3,27,28,2,6,Ng,Oon-Ee,LKCFES,DMBE,male,Universiti Tunku Abdul Rahman
4,34,39,2,11,Tan,Lee Fan,LKCFES,DMBE,female,Universiti Tunku Abdul Rahman
4,1,1,1,8,Tan,Yin Qing,LKCFES,DMBE,female,Universiti Tunku Abdul Rahman
26,160,177,7,42,Tang,Pek Yee,LKCFES,DMBE,female,Universiti Tunku Abdul Rahman
18,147,223,7,37,Tee,Yee Kai,LKCFES,DMBE,male,Universiti Tunku Abdul Rahman
11,62,67,5,14,Chia,Fah Choy,LKCFES,DOS,male,Universiti Tunku Abdul Rahman
36,95,175,8,42,Yap,Jeffrey Boon Hui,LKCFES,DMBE,male,Universiti Tunku Abdul Rahman
5,18,18,1,14,Lee,Wah Peng,LKCFES,DMBE,male,Universiti Tunku Abdul Rahman
4,5,5,1,12,Lew,Yoke Lian,LKCFES,DMBE,female,Universiti Tunku Abdul Rahman
2,1,1,1,2,Lim,Chai Chai,LKCFES,DMBE,male,Universiti Tunku Abdul Rahman
5,0,0,0,13,Lim,Cheng Sim,LKCFES,DMBE,female,Universiti Tunku Abdul Rahman
2,8,8,1,8,Mahbob,Naziatul Syima,LKCFES,DMBE,female,Universiti Tunku Abdul Rahman
5,20,20,2,13,Ramli,Nur Aqlima,LKCFES,DMBE,female,Universiti Tunku Abdul Rahman
13,20,20,3,28,Toh,Tien Choon,LKCFES,DMBE,male,Universiti Tunku Abdul Rahman
9,55,56,3,17,Wong,Phui Fung,LKCFES,DMBE,female,Universiti Tunku Abdul Rahman
2,5,5,1,6,Sulaiman,Zamharira,LKCFES,DMBE,female,Universiti Tunku Abdul Rahman
2,1,1,1,5,Thanimalay,Nawanithan,CFSKPR,DMA,male,Universiti Tunku Abdul Rahman
2,2,2,1,4,Chan,Jer Jing,CFSKPR,DSEKPR,female,Universiti Tunku Abdul Rahman
2,14,14,2,6,Chia,Phee Phee,CFSKPR,DSEKPR,female,Universiti Tunku Abdul Rahman
2,1,1,1,3,Chong,Fook Seng,CFSKPR,DSEKPR,male,Universiti Tunku Abdul Rahman
2,4,5,2,3,Goh,Kai Way,CFSKPR,DSEKPR,male,Universiti Tunku Abdul Rahman
3,14,15,3,5,Ho,Wai Yew,CFSKPR,DSEKPR,male,Universiti Tunku Abdul Rahman
3,69,69,1,5,Tan,Lee Siew,CFSKPR,DSEKPR,female,Universiti Tunku Abdul Rahman
5,26,26,3,5,Kan,Donica Pei Xin,CFSSGL,DSESGL,female,Universiti Tunku Abdul Rahman
3,2,3,1,11,Tan,Chun Yuan,CFSSGL,DSESGL,male,Universiti Tunku Abdul Rahman
